repo	stars	forks	license	archived	primary_language	created_at	pushed_at	url	description
vllm-project/vllm	78978	16384	Apache-2.0	false	Python	2023-02-09T11:23:20Z	2026-05-04T10:37:16Z	https://github.com/vllm-project/vllm	A high-throughput and memory-efficient inference and serving engine for LLMs
sgl-project/sglang	27015	5680	Apache-2.0	false	Python	2024-01-08T04:15:52Z	2026-05-04T10:42:33Z	https://github.com/sgl-project/sglang	SGLang is a high-performance serving framework for large language models and multimodal models.
NVIDIA/TensorRT-LLM	13546	2347	NOASSERTION	false	Python	2023-08-16T17:14:27Z	2026-05-04T10:31:22Z	https://github.com/NVIDIA/TensorRT-LLM	TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in a performant way.
huggingface/text-generation-inference	10849	1266	Apache-2.0	true	Python	2022-10-08T10:26:28Z	2026-03-21T11:34:22Z	https://github.com/huggingface/text-generation-inference	Large Language Model Text Generation Inference
InternLM/lmdeploy	7836	694	Apache-2.0	false	Python	2023-06-15T12:38:06Z	2026-04-29T12:00:44Z	https://github.com/InternLM/lmdeploy	LMDeploy is a toolkit for compressing, deploying, and serving LLMs.
ModelTC/LightLLM	4038	322	Apache-2.0	false	Python	2023-07-22T08:11:15Z	2026-05-04T10:44:02Z	https://github.com/ModelTC/LightLLM	LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.
aphrodite-engine/aphrodite-engine	1718	195	AGPL-3.0	false	C++	2023-06-23T02:34:29Z	2026-05-02T23:50:14Z	https://github.com/aphrodite-engine/aphrodite-engine	Large-scale LLM inference engine
ai-dynamo/dynamo	6732	1084	NOASSERTION	false	Rust	2025-03-03T18:40:07Z	2026-05-04T10:15:16Z	https://github.com/ai-dynamo/dynamo	A Datacenter Scale Distributed Inference Serving Framework
triton-inference-server/server	10635	1770	BSD-3-Clause	false	Python	2018-10-04T21:10:30Z	2026-05-02T13:44:40Z	https://github.com/triton-inference-server/server	The Triton Inference Server provides an optimized cloud and edge inferencing solution.
ray-project/ray	42418	7524	Apache-2.0	false	Python	2016-10-25T19:38:30Z	2026-05-04T08:27:14Z	https://github.com/ray-project/ray	Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
ggml-org/llama.cpp	108186	17741	MIT	false	C++	2023-03-10T18:58:00Z	2026-05-04T10:37:00Z	https://github.com/ggml-org/llama.cpp	LLM inference in C/C++
ollama/ollama	170660	15963	MIT	false	Go	2023-06-26T19:39:32Z	2026-05-04T06:24:37Z	https://github.com/ollama/ollama	Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.
mlc-ai/mlc-llm	22571	2025	Apache-2.0	false	Python	2023-04-29T01:59:25Z	2026-04-22T01:01:22Z	https://github.com/mlc-ai/mlc-llm	Universal LLM Deployment Engine with ML Compilation
ml-explore/mlx-lm	5140	642	MIT	false	Python	2025-03-11T16:38:30Z	2026-04-23T13:54:02Z	https://github.com/ml-explore/mlx-lm	Run LLMs with MLX
microsoft/onnxruntime-genai	1018	286	MIT	false	C++	2023-11-13T20:37:15Z	2026-05-03T23:45:28Z	https://github.com/microsoft/onnxruntime-genai	Generative AI extensions for onnxruntime
openvinotoolkit/openvino.genai	499	392	Apache-2.0	false	C++	2023-10-16T13:38:16Z	2026-05-04T10:48:35Z	https://github.com/openvinotoolkit/openvino.genai	Run Generative AI models with simple C++/Python API and using OpenVINO Runtime
kvcache-ai/ktransformers	17113	1280	Apache-2.0	false	Python	2024-07-26T07:18:28Z	2026-05-03T13:07:33Z	https://github.com/kvcache-ai/ktransformers	A Flexible Framework for Experiencing Heterogeneous LLM Inference/Fine-tune Optimizations
turboderp-org/exllamav2	4512	331	MIT	false	Python	2023-08-30T08:54:22Z	2026-03-04T13:12:20Z	https://github.com/turboderp-org/exllamav2	A fast inference library for running LLMs locally on modern consumer-class GPUs
EricLBuehler/mistral.rs	7096	589	MIT	false	Rust	2024-02-26T22:30:06Z	2026-04-15T00:54:49Z	https://github.com/EricLBuehler/mistral.rs	Fast, flexible LLM inference
huggingface/diffusers	33535	6963	Apache-2.0	false	Python	2022-05-30T16:04:02Z	2026-05-03T00:35:15Z	https://github.com/huggingface/diffusers	Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch.
Comfy-Org/ComfyUI	111273	12995	GPL-3.0	false	Python	2023-01-17T03:15:56Z	2026-05-04T08:01:46Z	https://github.com/Comfy-Org/ComfyUI	The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.
flashinfer-ai/flashinfer	5552	949	Apache-2.0	false	Python	2023-07-22T00:29:04Z	2026-05-04T08:46:44Z	https://github.com/flashinfer-ai/flashinfer	FlashInfer: Kernel Library for LLM Serving
guidance-ai/llguidance	752	63	MIT	false	Rust	2024-07-25T23:34:06Z	2026-04-29T19:29:42Z	https://github.com/guidance-ai/llguidance	Super-fast Structured Outputs
dottxt-ai/outlines	13779	693	Apache-2.0	false	Python	2023-03-17T16:01:18Z	2026-05-04T09:18:25Z	https://github.com/dottxt-ai/outlines	Structured Outputs
