repo	stars	forks	license	pushed_at	created_at	description	url
NVIDIA/Megatron-LM	16217	3906	NOASSERTION	2026-05-04T09:52:59Z	2019-03-21T16:15:52Z	Ongoing research training transformer models at scale	https://github.com/NVIDIA/Megatron-LM
deepspeedai/DeepSpeed	42252	4815	Apache-2.0	2026-05-02T06:44:28Z	2020-01-23T18:35:18Z	DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.	https://github.com/deepspeedai/DeepSpeed
pytorch/torchtitan	5297	800	BSD-3-Clause	2026-05-04T08:20:47Z	2023-12-13T01:51:37Z	A PyTorch native platform for training generative AI models	https://github.com/pytorch/torchtitan
NVIDIA-NeMo/NeMo	17165	3401	Apache-2.0	2026-05-02T01:29:56Z	2019-08-05T20:16:42Z	A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)	https://github.com/NVIDIA-NeMo/NeMo
NVIDIA-NeMo/Megatron-Bridge	613	299	Apache-2.0	2026-05-04T09:59:22Z	2025-05-21T21:45:06Z	Training library for Megatron-based models with bidirectional Hugging Face conversion capability	https://github.com/NVIDIA-NeMo/Megatron-Bridge
ByteDance-Seed/VeOmni	1889	185	Apache-2.0	2026-05-02T17:28:25Z	2025-03-28T03:42:42Z	VeOmni: Scaling Any Modality Model Training with Model-Centric Distributed Recipe Zoo	https://github.com/ByteDance-Seed/VeOmni
huggingface/nanotron	2675	304	Apache-2.0	2026-04-07T13:25:10Z	2023-09-11T14:40:28Z	Minimalistic large language model 3D-parallelism training	https://github.com/huggingface/nanotron
hpcaitech/ColossalAI	41376	4515	Apache-2.0	2026-04-27T17:41:15Z	2021-10-28T16:19:44Z	Making large AI models cheaper, faster and more accessible	https://github.com/hpcaitech/ColossalAI
EleutherAI/gpt-neox	7425	1111	Apache-2.0	2026-04-13T22:43:59Z	2020-12-22T14:37:54Z	An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries	https://github.com/EleutherAI/gpt-neox
mosaicml/llm-foundry	4402	589	Apache-2.0	2026-03-25T17:22:01Z	2023-04-28T22:33:27Z	LLM training code for Databricks foundation models	https://github.com/mosaicml/llm-foundry
Lightning-AI/litgpt	13339	1426	Apache-2.0	2026-05-01T12:01:13Z	2023-05-04T17:46:11Z	20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.	https://github.com/Lightning-AI/litgpt
facebookresearch/lingua	4763	271	BSD-3-Clause	2025-07-18T09:36:44Z	2024-10-16T19:16:50Z	Meta Lingua: a lean, efficient, and easy-to-hack codebase to research LLMs.	https://github.com/facebookresearch/lingua
huggingface/transformers	160226	33102	Apache-2.0	2026-05-04T10:03:25Z	2018-10-29T13:56:00Z	🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. 	https://github.com/huggingface/transformers
huggingface/accelerate	9653	1342	Apache-2.0	2026-04-29T13:52:37Z	2020-10-30T13:27:12Z	🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support	https://github.com/huggingface/accelerate
huggingface/peft	21055	2277	Apache-2.0	2026-05-01T05:22:35Z	2022-11-25T03:51:09Z	🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.	https://github.com/huggingface/peft
huggingface/trl	18265	2692	Apache-2.0	2026-05-04T09:32:36Z	2020-03-27T10:54:55Z	Train transformer language models with reinforcement learning.	https://github.com/huggingface/trl
